symbol,cvm_code,long_name,short_name,floatShares,website,sectorKey,sector,industry,country,fax,cep,CVM_CODE
BRSR6.SA,"253    1210
Name: CD_CVM, dtype: int64",Banco do Estado do Rio Grande do Sul S.A.,BANRISUL    PNB EJ  N1,206986073.0,https://www.banrisul.com.br,Financial Services,Financial Services,Banks - Regional,Brazil,,,1210.0
BSLI3.SA,,BRB - Banco de Brasília S.A.,BRB BANCO   ON  ED,93266646.0,https://novo.brb.com.br,Financial Services,Financial Services,Banks - Regional,Brazil,,70040-250,14206.0
BSLI4.SA,,BRB - Banco de Brasília S.A.,BRB BANCO   PN  ED,93266646.0,https://novo.brb.com.br,Financial Services,Financial Services,Banks - Regional,Brazil,,70040-250,14206.0
CALI3.SA,"902    4723
Name: CD_CVM, dtype: int64",Construtora Adolpho Lindenberg S.A.,CONST A LINDON,3494438.0,https://www.lindenberg.com.br,Industrials,Industrials,Engineering & Construction,Brazil,,04534-002,4723.0
CAMB3.SA,"503    2100
Name: CD_CVM, dtype: int64",Cambuci S.A.,CAMBUCI     ON,15726913.0,https://www.cambuci.com.br,Consumer Cyclical,Consumer Cyclical,Leisure,Brazil,55 11 4713 9568,18130-430,2100.0
CAML3.SA,"504    24228
Name: CD_CVM, dtype: int64",Camil Alimentos S.A.,CAMIL       ON      NM,144337935.0,https://www.camil.com.br,Consumer Defensive,Consumer Defensive,Packaged Foods,Brazil,,05425-070,24228.0
CASH3.SA,,Méliuz S.A.,MELIUZ      ON      NM,67600637.0,https://www.meliuz.com.br,Communication Services,Communication Services,Internet Content & Information,Brazil,,,25232.0
CBAV3.SA,,Companhia Brasileira de Alumínio,CBA         ON      NM,204462870.0,https://www.cba.com.br,Basic Materials,Basic Materials,Aluminum,Brazil,,,25984.0
CBEE3.SA,"117    3050
Name: CD_CVM, dtype: int64",Ampla Energia e Serviços S.A.,AMPLA ENERG ON,40817640.0,,Utilities,Utilities,Utilities - Regulated Electric,Brazil,,20220-297,3050.0
CCRO3.SA,"538    18821
Name: CD_CVM, dtype: int64",CCR S.A.,CCR SA      ON      NM,1205161648.0,https://www.ccr.com.br,Industrials,Industrials,Infrastructure Operations,Brazil,,04551-06,18821.0
CEAB3.SA,"483    24848
Name: CD_CVM, dtype: int64",C&A Modas S.A.,CEA MODAS   ON      NM,101340475.0,https://www.cea.com.br,Consumer Cyclical,Consumer Cyclical,Specialty Retail,Brazil,,06455-000,24848.0
CEBR3.SA,"814    14451
Name: CD_CVM, dtype: int64",Companhia Energética de Brasília - CEB,CEB         ON,18721836.0,https://www.ceb.com.br,Utilities,Utilities,Utilities - Regulated Electric,Brazil,,70830-010,14451.0
CEBR5.SA,"814    14451
Name: CD_CVM, dtype: int64",Companhia Energética de Brasília - CEB,CEB         PNA,18721836.0,https://www.ceb.com.br,Utilities,Utilities,Utilities - Regulated Electric,Brazil,,70830-010,14451.0
CEBR6.SA,"814    14451
Name: CD_CVM, dtype: int64",Companhia Energética de Brasília - CEB,CEB         PNB,18721836.0,https://www.ceb.com.br,Utilities,Utilities,Utilities - Regulated Electric,Brazil,,70830-010,14451.0
CEDO3.SA,,Companhia de Fiação e Tecidos Cedro e Cachoeira S.A.,CEDRO       ON      N1,3597000.0,https://www.cedro.com.br,Consumer Cyclical,Consumer Cyclical,Textile Manufacturing,Brazil,,30130-140,3077.0
CEDO4.SA,,Companhia de Fiação e Tecidos Cedro e Cachoeira S.A.,CEDRO       PN      N1,3597000.0,https://www.cedro.com.br,Consumer Cyclical,Consumer Cyclical,Textile Manufacturing,Brazil,,30130-140,3077.0
CEEB3.SA,,Companhia de Eletricidade do Estado da Bahia - COELBA,COELBA      ON  EJ,2670759.0,https://www.coelba.com.br,Utilities,Utilities,Utilities - Regulated Electric,Brazil,,41181-900,14524.0
CEEB5.SA,,Companhia de Eletricidade do Estado da Bahia - COELBA,COELBA      PNA EJ,2670759.0,https://www.coelba.com.br,Utilities,Utilities,Utilities - Regulated Electric,Brazil,,41181-900,14524.0
CEED3.SA,,Companhia Estadual de Distribuição de Energia Elétrica,"CEEE,D      ON",178828.0,https://www.ceee.com.br,Utilities,Utilities,Utilities - Regulated Electric,Brazil,,,20648.0
CEED4.SA,,Companhia Estadual de Distribuição de Energia Elétrica,"CEEE,D      PN",178828.0,https://www.ceee.com.br,Utilities,Utilities,Utilities - Regulated Electric,Brazil,,,20648.0
CEGR3.SA,,Companhia Distribuidora de Gás do Rio de Janeiro - CEG,CEG         ON  EJ,11825971.0,https://www.naturgy.com.br,Utilities,Utilities,Utilities - Regulated Gas,Brazil,,22640-907,16616.0
CGAS3.SA,"805    15636
806    15636
Name: CD_CVM, dtype: int64",Companhia de Gás de São Paulo - COMGÁS,COMGAS      ON,24499157.0,https://www.comgas.com.br,Utilities,Utilities,Utilities - Regulated Gas,Brazil,,04538-132,15636.0
CGAS5.SA,"805    15636
806    15636
Name: CD_CVM, dtype: int64",Companhia de Gás de São Paulo - COMGÁS,COMGAS      PNA,24499157.0,https://www.comgas.com.br,Utilities,Utilities,Utilities - Regulated Gas,Brazil,,04538-132,15636.0
CGRA3.SA,"1304    4537
Name: CD_CVM, dtype: int64",Grazziotin S.A.,GRAZZIOTIN  ON  EJ,11032987.0,https://www.grazziotin.com.br,Consumer Cyclical,Consumer Cyclical,Department Stores,Brazil,,99060-030,4537.0
CGRA4.SA,"1304    4537
Name: CD_CVM, dtype: int64",Grazziotin S.A.,GRAZZIOTIN  PN  EJ,11032987.0,https://www.grazziotin.com.br,Consumer Cyclical,Consumer Cyclical,Department Stores,Brazil,,99060-030,4537.0
CLSA3.SA,,ClearSale S.A.,CLEARSALE   ON      NM,56736447.0,https://br.clear.sale,Technology,Technology,Software - Infrastructure,Brazil,,06460-040,26093.0
CLSC3.SA,,Centrais Elétricas de Santa Catarina S.A.,CELESC      ON  EJ  N2,15101935.0,https://www.celesc.com.br,Utilities,Utilities,Utilities - Regulated Electric,Brazil,,,2461.0
CLSC4.SA,,Centrais Elétricas de Santa Catarina S.A.,CELESC      PN  EJ  N2,15101935.0,https://www.celesc.com.br,Utilities,Utilities,Utilities - Regulated Electric,Brazil,,,2461.0
CMIG3.SA,,Companhia Energética de Minas Gerais - CEMIG,CEMIG       ON  EJ  N1,2326746841.0,https://www.cemig.com.br,Utilities,Utilities,Utilities - Diversified,Brazil,,30190-131,2453.0
CMIG4.SA,,Companhia Energética de Minas Gerais - CEMIG,CEMIG       PN  EJ  N1,2326746841.0,https://www.cemig.com.br,Utilities,Utilities,Utilities - Diversified,Brazil,,30190-131,2453.0
CMIN3.SA,"953    25585
Name: CD_CVM, dtype: int64",CSN Mineração S.A.,CSNMINERACAOON      N2,478266693.0,https://ri.csnmineracao.com.br,Basic Materials,Basic Materials,Steel,Brazil,,04538-132,25585.0
COCE3.SA,,Companhia Energética do Ceará - COELCE,COELCE      ON,11408916.0,https://www.enel.com.br/pt/investidores.html,Utilities,Utilities,Utilities - Regulated Electric,Brazil,,,14869.0
COCE5.SA,,Companhia Energética do Ceará - COELCE,COELCE      PNA,11408916.0,https://www.enel.com.br/pt/investidores.html,Utilities,Utilities,Utilities - Regulated Electric,Brazil,,,14869.0
COGN3.SA,"770    17973
Name: CD_CVM, dtype: int64",Cogna Educação S.A.,COGNA ON    ON      NM,1871956123.0,https://www.cogna.com.br,Consumer Defensive,Consumer Defensive,Education & Training Services,Brazil,,,17973.0
CPFE3.SA,"933    18660
934    18660
935    20540
936    20540
Name: CD_CVM, dtype: int64",CPFL Energia S.A.,CPFL ENERGIAON      NM,187713771.0,https://www.cpfl.com.br,Utilities,Utilities,Utilities - Regulated Electric,Brazil,,13087-397,18660.0
CPLE3.SA,,Companhia Paranaense de Energia - COPEL,COPEL       ON      N2,1682335001.0,https://www.copel.com,Utilities,Utilities,Utilities - Diversified,Brazil,55 41 3331 4145,81200-240,14311.0
CPLE5.SA,,Companhia Paranaense de Energia - COPEL,COPEL       PNA     N2,1682335001.0,https://www.copel.com,Utilities,Utilities,Utilities - Diversified,Brazil,55 41 3331 4145,81200-240,14311.0
CPLE6.SA,,Companhia Paranaense de Energia - COPEL,COPEL       PNB     N2,1682335001.0,https://www.copel.com,Utilities,Utilities,Utilities - Diversified,Brazil,55 41 3331 4145,81200-240,14311.0
CRFB3.SA,"163    24171
164    24171
Name: CD_CVM, dtype: int64",Atacadão S.A.,CARREFOUR BRON  EJ  NM,505182354.0,https://www.grupocarrefourbrasil.com.br,Consumer Cyclical,Consumer Cyclical,Department Stores,Brazil,,02170-901,24171.0
CRPG3.SA,"2474    11398
Name: CD_CVM, dtype: int64",Tronox Pigmentos do Brasil S.A.,CRISTAL     ON,7878300.0,https://www.tronox-al.com.br,Basic Materials,Basic Materials,Chemicals,Brazil,,42829-710,11398.0
CRPG5.SA,"2474    11398
Name: CD_CVM, dtype: int64",Tronox Pigmentos do Brasil S.A.,CRISTAL     PNA,7878300.0,https://www.tronox-al.com.br,Basic Materials,Basic Materials,Chemicals,Brazil,,42829-710,11398.0
CRPG6.SA,"2474    11398
Name: CD_CVM, dtype: int64",Tronox Pigmentos do Brasil S.A.,CRISTAL     PNB,7878300.0,https://www.tronox-al.com.br,Basic Materials,Basic Materials,Chemicals,Brazil,,42829-710,11398.0
CSAN3.SA,"928    19836
Name: CD_CVM, dtype: int64",Cosan S.A.,COSAN       ON      NM,510482336.0,https://www.cosan.com.br,Energy,Energy,Oil & Gas Refining & Marketing,Brazil,,04538-132,19836.0
CSED3.SA,"948    25526
Name: CD_CVM, dtype: int64",Cruzeiro do Sul Educacional S.A.,CRUZEIRO EDUON      NM,45174113.0,https://www.cruzeirodosuleducacional.com.br,Consumer Defensive,Consumer Defensive,Education & Training Services,Brazil,,03071-000,25526.0
CSMG3.SA,"810    19445
811    19445
Name: CD_CVM, dtype: int64",Companhia de Saneamento de Minas Gerais,COPASA      ON  EJ  NM,188930939.0,https://www.copasa.com.br,Utilities,Utilities,Utilities - Regulated Water,Brazil,,30330-270,19445.0
CSNA3.SA,,Companhia Siderúrgica Nacional,SID NACIONALON,604909885.0,https://www.csn.com.br,Basic Materials,Basic Materials,Steel,Brazil,,04538-132,4030.0
CTKA3.SA,"1534    4146
Name: CD_CVM, dtype: int64",Karsten S.A.,KARSTEN     ON,841325.0,https://www.karsten.com.br,Consumer Cyclical,Consumer Cyclical,Textile Manufacturing,Brazil,,89074-700,4146.0
